subject_id,group,k,n_segments_total,n_recordings,occupancy_state_0,occupancy_state_1,occupancy_state_2
aaaaamba,0,3,46,1,0.30434782608695654,0.6739130434782609,0.021739130434782608
aaaaamey,0,3,41,1,0.0,1.0,0.0
aaaaamfh,0,3,48,1,0.020833333333333332,0.9791666666666666,0.0
aaaaamhx,0,3,39,2,0.0,1.0,0.0
aaaaamlk,0,3,39,1,0.5641025641025641,0.28205128205128205,0.15384615384615385
aaaaammn,0,3,41,1,0.0,1.0,0.0
aaaaammt,0,3,40,2,0.4,0.6,0.0
aaaaammw,0,3,40,1,0.65,0.025,0.325
aaaaamnf,0,3,40,1,0.675,0.225,0.1
aaaaamrw,0,3,40,1,0.475,0.525,0.0
aaaaamum,0,3,272,30,0.3639705882352941,0.0625,0.5735294117647058
aaaaamwa,0,3,84,2,0.38095238095238093,0.5833333333333334,0.03571428571428571
aaaaamwl,0,3,40,1,0.2,0.025,0.775
aaaaanca,0,3,80,2,0.15,0.5375,0.3125
aaaaandb,0,3,483,10,0.28778467908902694,0.32919254658385094,0.3830227743271222
aaaaangg,0,3,377,15,0.013262599469496022,0.11140583554376658,0.8753315649867374
aaaaanig,0,3,1250,93,0.2288,0.736,0.0352
aaaaankd,0,3,357,9,0.05322128851540616,0.35294117647058826,0.5938375350140056
aaaaanky,0,3,119,7,0.09243697478991597,0.8991596638655462,0.008403361344537815
aaaaanla,0,3,87,2,0.05747126436781609,0.9425287356321839,0.0
aaaaannv,0,3,723,21,0.06224066390041494,0.48686030428769017,0.4508990318118949
aaaaanon,0,3,40,1,0.225,0.775,0.0
aaaaanuz,0,3,44,1,0.4772727272727273,0.5227272727272727,0.0
aaaaanvy,0,3,40,2,0.0,1.0,0.0
aaaaanwp,0,3,47,1,0.10638297872340426,0.8723404255319149,0.02127659574468085
aaaaaoay,0,3,41,1,0.7073170731707317,0.24390243902439024,0.04878048780487805
aaaaaocx,0,3,44,1,0.4318181818181818,0.5,0.06818181818181818
aaaaaods,0,3,49,1,0.061224489795918366,0.9387755102040817,0.0
aaaaaoep,0,3,49,1,0.0,1.0,0.0
aaaaaofk,0,3,42,1,0.19047619047619047,0.0,0.8095238095238095
aaaaaohu,0,3,30,1,0.03333333333333333,0.9666666666666667,0.0
aaaaaoie,0,3,520,20,0.4423076923076923,0.4673076923076923,0.09038461538461538
aaaaaojm,0,3,42,1,0.07142857142857142,0.9285714285714286,0.0
aaaaaokb,0,3,86,2,0.12790697674418605,0.686046511627907,0.18604651162790697
aaaaaooz,0,3,46,1,0.391304347826087,0.5869565217391305,0.021739130434782608
aaaaaosn,0,3,48,1,0.7083333333333334,0.1875,0.10416666666666667
aaaaaoti,0,3,50,3,0.1,0.9,0.0
aaaaaott,0,3,83,3,0.14457831325301204,0.8554216867469879,0.0
aaaaaovh,0,3,41,1,0.4634146341463415,0.5365853658536586,0.0
aaaaaoxn,0,3,87,2,0.5747126436781609,0.022988505747126436,0.40229885057471265
aaaaaoxx,0,3,44,2,0.0,1.0,0.0
aaaaaoyh,0,3,46,1,0.021739130434782608,0.9782608695652174,0.0
aaaaaoyn,0,3,49,1,0.6326530612244898,0.30612244897959184,0.061224489795918366
aaaaaoyt,0,3,83,3,0.8433734939759037,0.12048192771084337,0.03614457831325301
aaaaapap,0,3,50,1,0.0,1.0,0.0
aaaaapfw,0,3,270,11,0.15185185185185185,0.825925925925926,0.022222222222222223
aaaaapgp,0,3,53,1,0.0,0.9811320754716981,0.018867924528301886
aaaaapkt,0,3,49,2,0.0,1.0,0.0
aaaaapkw,0,3,337,18,0.19584569732937684,0.7566765578635015,0.04747774480712166
aaaaapld,0,3,41,1,0.2926829268292683,0.7073170731707317,0.0
aaaaaplq,0,3,41,1,0.21951219512195122,0.7804878048780488,0.0
aaaaapls,0,3,41,1,0.975609756097561,0.0,0.024390243902439025
aaaaapmi,0,3,132,3,0.36363636363636365,0.23484848484848486,0.4015151515151515
aaaaapmu,0,3,581,20,0.13080895008605853,0.6333907056798623,0.23580034423407917
aaaaapnx,0,3,86,2,0.0,0.0,1.0
aaaaappj,0,3,215,8,0.5534883720930233,0.20465116279069767,0.24186046511627907
aaaaappo,0,3,87,4,0.0,0.9885057471264368,0.011494252873563218
aaaaapre,0,3,91,4,0.0,0.989010989010989,0.01098901098901099
aaaaapsj,0,3,107,3,0.018691588785046728,0.9626168224299065,0.018691588785046728
aaaaapsm,0,3,130,4,0.4230769230769231,0.3923076923076923,0.18461538461538463
aaaaapsq,0,3,41,1,0.7804878048780488,0.04878048780487805,0.17073170731707318
aaaaapuc,0,3,43,1,0.0,1.0,0.0
aaaaapuo,0,3,41,1,0.04878048780487805,0.926829268292683,0.024390243902439025
aaaaapwy,0,3,974,47,0.2915811088295688,0.6806981519507187,0.027720739219712527
aaaaaqaw,0,3,82,2,0.23170731707317074,0.1951219512195122,0.573170731707317
aaaaaanr,1,3,2840,117,0.3880281690140845,0.4176056338028169,0.19436619718309858
aaaaaawu,1,3,232,5,0.10775862068965517,0.8879310344827587,0.004310344827586207
aaaaabdn,1,3,956,50,0.2583682008368201,0.5972803347280334,0.14435146443514643
aaaaabhz,1,3,14540,308,0.6549518569463549,0.10515818431911966,0.23988995873452545
aaaaabju,1,3,135,4,0.43703703703703706,0.5111111111111111,0.05185185185185185
aaaaacrz,1,3,498,19,0.12650602409638553,0.6024096385542169,0.2710843373493976
aaaaadkv,1,3,129,3,0.3333333333333333,0.6434108527131783,0.023255813953488372
aaaaaelp,1,3,289,7,0.5017301038062284,0.47058823529411764,0.02768166089965398
aaaaaeph,1,3,320,28,0.15625,0.21875,0.625
aaaaaeqq,1,3,206,8,0.21844660194174756,0.7621359223300971,0.019417475728155338
aaaaaewf,1,3,145,3,0.41379310344827586,0.35172413793103446,0.23448275862068965
aaaaafif,1,3,174,4,0.39655172413793105,0.5977011494252874,0.005747126436781609
aaaaaflb,1,3,273,6,0.09523809523809523,0.8937728937728938,0.01098901098901099
aaaaagnh,1,3,97,2,0.3402061855670103,0.6494845360824743,0.010309278350515464
aaaaagxr,1,3,3804,122,0.18165089379600421,0.1353838065194532,0.6829652996845426
aaaaaicb,1,3,88,2,0.20454545454545456,0.7954545454545454,0.0
aaaaaiek,1,3,125,3,0.448,0.472,0.08
aaaaaifn,1,3,359,22,0.10863509749303621,0.7910863509749304,0.10027855153203342
aaaaaifp,1,3,214,9,0.22429906542056074,0.7570093457943925,0.018691588785046728
aaaaaiiz,1,3,92,2,0.41304347826086957,0.3695652173913043,0.21739130434782608
aaaaaimz,1,3,171,5,0.30409356725146197,0.6549707602339181,0.04093567251461988
aaaaaint,1,3,247,10,0.2550607287449393,0.659919028340081,0.08502024291497975
aaaaaiud,1,3,119,3,0.6302521008403361,0.15966386554621848,0.21008403361344538
aaaaajat,1,3,1363,56,0.4812912692589875,0.19002201027146,0.32868672046955244
aaaaajbn,1,3,127,3,0.3937007874015748,0.5984251968503937,0.007874015748031496
aaaaajqo,1,3,3500,114,0.272,0.5954285714285714,0.13257142857142856
aaaaajud,1,3,712,22,0.07443820224719101,0.5393258426966292,0.3862359550561798
aaaaajus,1,3,146,3,0.0958904109589041,0.8904109589041096,0.0136986301369863
aaaaakbt,1,3,153,4,0.1895424836601307,0.013071895424836602,0.7973856209150327
aaaaakfe,1,3,139,5,0.539568345323741,0.16546762589928057,0.2949640287769784
aaaaakgl,1,3,129,3,0.5891472868217055,0.3798449612403101,0.031007751937984496
aaaaakgy,1,3,40,1,0.0,1.0,0.0
aaaaaklt,1,3,130,3,0.2153846153846154,0.7307692307692307,0.05384615384615385
aaaaaklv,1,3,117,3,0.5128205128205128,0.4700854700854701,0.017094017094017096
aaaaakoq,1,3,1557,60,0.30956968529222867,0.6653821451509313,0.025048169556840076
aaaaakqa,1,3,175,4,0.12571428571428572,0.8685714285714285,0.005714285714285714
aaaaakqq,1,3,224,5,0.18303571428571427,0.8125,0.004464285714285714
aaaaaktn,1,3,88,2,0.06818181818181818,0.9318181818181818,0.0
aaaaakvr,1,3,49,1,0.02040816326530612,0.9795918367346939,0.0
aaaaakyc,1,3,44,2,0.29545454545454547,0.4090909090909091,0.29545454545454547
aaaaalfg,1,3,474,29,0.14978902953586498,0.1540084388185654,0.6962025316455697
aaaaalgi,1,3,174,9,0.3275862068965517,0.022988505747126436,0.6494252873563219
aaaaalhr,1,3,42,1,0.19047619047619047,0.7857142857142857,0.023809523809523808
aaaaalib,1,3,1732,96,0.476905311778291,0.45727482678983833,0.06581986143187067
aaaaalim,1,3,1160,53,0.09310344827586207,0.02586206896551724,0.8810344827586207
aaaaaliw,1,3,187,5,0.20320855614973263,0.7967914438502673,0.0
aaaaalof,1,3,40,1,0.25,0.75,0.0
aaaaalon,1,3,92,2,0.3804347826086957,0.6195652173913043,0.0
aaaaalqm,1,3,189,5,0.08465608465608465,0.8624338624338624,0.05291005291005291
aaaaalug,1,3,86,2,0.11627906976744186,0.8837209302325582,0.0
aaaaaluq,1,3,79,2,0.35443037974683544,0.5569620253164557,0.08860759493670886
aaaaalzg,1,3,2355,118,0.5745222929936306,0.2641188959660297,0.1613588110403397
aaaaamde,1,3,328,9,0.3231707317073171,0.6432926829268293,0.03353658536585366
aaaaamgc,1,3,88,2,0.75,0.25,0.0
aaaaamhb,1,3,1503,84,0.29141716566866266,0.20691949434464404,0.5016633399866933
aaaaamic,1,3,80,3,0.2,0.4875,0.3125
aaaaamkx,1,3,48,1,0.020833333333333332,0.9791666666666666,0.0
aaaaamlf,1,3,139,4,0.0,1.0,0.0
aaaaamlm,1,3,41,1,0.2926829268292683,0.6829268292682927,0.024390243902439025
aaaaamnj,1,3,1659,89,0.16817359855334538,0.6678722121760097,0.16395418927064498
aaaaamoa,1,3,1826,58,0.380065717415115,0.03669222343921139,0.5832420591456736
aaaaamor,1,3,40,1,0.25,0.75,0.0
aaaaamrq,1,3,40,1,0.8,0.2,0.0
aaaaamsw,1,3,135,3,0.007407407407407408,0.7037037037037037,0.28888888888888886
aaaaamtl,1,3,489,22,0.1901840490797546,0.4887525562372188,0.3210633946830266
aaaaamuy,1,3,994,36,0.3420523138832998,0.3772635814889336,0.2806841046277666
aaaaamys,1,3,60,1,0.1,0.9,0.0
aaaaanag,1,3,81,2,0.37037037037037035,0.2839506172839506,0.345679012345679
aaaaandx,1,3,799,53,0.17521902377972465,0.2490613266583229,0.5757196495619524
aaaaanfk,1,3,366,19,0.20218579234972678,0.38524590163934425,0.412568306010929
aaaaanfl,1,3,42,1,0.8095238095238095,0.09523809523809523,0.09523809523809523
aaaaanhr,1,3,42,1,0.2619047619047619,0.7380952380952381,0.0
aaaaanjh,1,3,422,8,0.6919431279620853,0.1943127962085308,0.11374407582938388
aaaaankz,1,3,330,14,0.45454545454545453,0.2606060606060606,0.28484848484848485
aaaaanmf,1,3,47,1,0.19148936170212766,0.7872340425531915,0.02127659574468085
aaaaannz,1,3,903,26,0.2901439645625692,0.6201550387596899,0.08970099667774087
aaaaanog,1,3,969,34,0.29205366357069146,0.29205366357069146,0.41589267285861714
aaaaanwn,1,3,1558,34,0.2535301668806162,0.7124518613607189,0.03401797175866496
aaaaanzp,1,3,42,1,0.11904761904761904,0.8571428571428571,0.023809523809523808
aaaaaock,1,3,90,2,0.23333333333333334,0.4888888888888889,0.2777777777777778
aaaaaodl,1,3,43,2,0.0,0.9767441860465116,0.023255813953488372
aaaaaogc,1,3,127,4,0.3858267716535433,0.12598425196850394,0.4881889763779528
aaaaaokm,1,3,402,7,0.004975124378109453,0.9950248756218906,0.0
aaaaaoom,1,3,1364,41,0.1781524926686217,0.06378299120234604,0.7580645161290323
aaaaaooo,1,3,1131,25,0.5694076038903625,0.27055702917771884,0.16003536693191867
aaaaaoou,1,3,44,1,0.0,1.0,0.0
aaaaaotl,1,3,50,1,0.0,1.0,0.0
aaaaaoui,1,3,86,3,0.6744186046511628,0.3023255813953488,0.023255813953488372
aaaaaovm,1,3,1042,50,0.09596928982725528,0.09788867562380038,0.8061420345489443
aaaaaowq,1,3,950,31,0.4063157894736842,0.49894736842105264,0.09473684210526316
aaaaaozy,1,3,50,1,0.0,1.0,0.0
aaaaapfa,1,3,833,22,0.18247298919567828,0.02040816326530612,0.7971188475390156
aaaaapge,1,3,49,1,0.6122448979591837,0.3469387755102041,0.04081632653061224
aaaaaphz,1,3,42,1,0.0,1.0,0.0
aaaaapjn,1,3,45,1,0.8,0.0,0.2
aaaaapkm,1,3,971,41,0.45623069001029865,0.4325437693099897,0.11122554067971163
aaaaapri,1,3,100,2,0.33,0.65,0.02
aaaaapvx,1,3,46,1,0.06521739130434782,0.9130434782608695,0.021739130434782608
aaaaapwd,1,3,43,2,0.27906976744186046,0.6976744186046512,0.023255813953488372
